stock_id,stock_name,industry_category,actual_months,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
4148,全宇生技-KY,生技醫療業,12,16.15737557458146,16.392212978817554,14.003870188249678,16.381720290410218,16.157,16.392,14.004,16.382,45053.008,39760.474,-7265.406,50.0,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",13.62368820465766,0.6176899999845773
3447,展達,通信網路業,12,16.165388066491513,17.57905840455835,16.204679543106227,17.000310271671946,16.165,17.579,16.205,17.0,58073.04,49236.674,-12826.534,58.333,58.333,12,0,"(1, 1, 0)","(1, 1, 0, 12)",2.483628895194637,0.6036137000191957
4161,聿新科,生技醫療業,12,16.168981128893666,16.441589981831797,13.037144548096036,16.668520069245933,16.169,16.442,13.037,16.669,12205.017,11280.438,1778.705,33.333,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",19.13437662112706,0.8873479999601841
4506,崇友,電機機械,12,16.17048881070739,16.228362402808553,11.93401816056011,17.37377212088963,16.17,16.228,11.934,17.374,104482.414,81132.989,626.429,66.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-41.91093668045685,0.8689365999307483
2419,仲琦,電子工業,12,16.172018271789916,16.649070152817064,13.677811946517487,15.634866522661047,16.172,16.649,13.678,15.635,154936.676,119676.21,-44314.474,58.333,75.0,12,0,"(0, 1, 1)","(1, 1, 0, 12)",8.455747850347533,0.440932699944824
6141,柏承,電子零組件業,12,16.18209871658754,15.800266872965576,12.60683393993965,15.739202839154537,16.182,15.8,12.607,15.739,28408.685,24198.238,2876.891,41.667,50.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-19.488205260919457,0.7507438000757247
6270,倍微,電子通路業,12,16.22157674991215,15.203440850049269,14.966629458986164,15.323313656216975,16.222,15.203,14.967,15.323,46478.401,37442.616,-631.824,50.0,66.667,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-40.73496700682453,1.0252227000892162
9958,世紀鋼,鋼鐵工業,12,16.22456697003438,15.58868323451178,10.913952189291713,16.321100517690958,16.225,15.589,10.914,16.321,248414.521,195563.278,61009.014,41.667,50.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",4.030959896575867,1.301786599913612
4541,晟田,其他,12,16.23468480610322,16.290965735773725,11.750679726762995,16.724051569726406,16.235,16.291,11.751,16.724,29103.809,22241.653,-4946.993,75.0,58.333,12,0,"(1, 1, 0)","(1, 1, 0, 12)",-22.97967476106985,0.5386467000935227
4549,桓達,電機機械,12,16.264593598498756,16.138918059836403,17.00572384985976,16.69716533563276,16.265,16.139,17.006,16.697,18236.375,16695.673,5374.112,33.333,58.333,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-17.875659525254626,0.8177755998913199
6568,宏觀,半導體業,12,16.276417589197443,16.34663932239141,18.488591887055122,16.19489260051201,16.276,16.347,18.489,16.195,18335.879,15425.812,-3390.473,50.0,58.333,12,0,"(1, 1, 1)","(0, 1, 1, 12)",3.1082754141426534,1.2535480000078678
3017,奇鋐,電腦及週邊設備業,12,16.29721744554999,18.813977286753417,15.815157595612794,17.062949357676345,16.297,18.814,15.815,17.063,1981646.717,1896444.205,-1660977.62,91.667,8.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-50.35448839181292,0.7301570000126958
1229,聯華,食品工業,12,16.305832119326748,15.80745540833993,8.907596907184155,15.670775179122906,16.306,15.807,8.908,15.671,253104.843,182355.947,-73020.481,66.667,75.0,12,0,"(1, 1, 1)","(1, 1, 0, 12)",-29.280574282036333,1.023137700045481
5521,工信,建材營造,12,16.32898542890371,16.64025697466335,15.10691279914606,16.803078082245683,16.329,16.64,15.107,16.803,153944.574,122989.796,6891.595,41.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",53.33815044083777,0.6410612999461591
6914,阜爾運通,其他,12,16.33217551887235,17.652571793483755,16.59944675004948,16.096955926092413,16.332,17.653,16.599,16.097,84014.216,77281.5,-71101.5,91.667,50.0,0,12,,,,0.0205178998876363
4536,拓凱,運動休閒,12,16.346293469217184,16.221389974785165,9.66494398441029,17.424130260853833,16.346,16.221,9.665,17.424,160028.459,125357.749,53121.667,41.667,66.667,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-36.40282107043867,0.3387643999885767
7704,明遠精密,半導體業,12,16.360664190035955,15.55973803005707,13.250156189382192,15.676287115086899,16.361,15.56,13.25,15.676,11586.041,9149.333,811.667,41.667,16.667,0,12,,,,0.0230790998321026
6862,三集瑞-KY,電子零組件業,12,16.380017283704326,15.178855168654474,13.495564459703951,16.042406406590544,16.38,15.179,13.496,16.042,36821.525,30927.083,11365.417,33.333,33.333,0,12,,,,0.0210224001202732
2477,美隆電,其他電子業,12,16.386157755487453,16.680704666380286,13.186965689236663,17.15897835639323,16.386,16.681,13.187,17.159,45681.339,34119.503,-2068.36,66.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",11.702580679663814,0.759438999928534
3691,碩禾,光電業,12,16.388932405161263,15.337272457425433,11.919935693655912,13.917845028322617,16.389,15.337,11.92,13.918,109223.433,79294.312,-71154.714,83.333,50.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",30.586972962962207,0.6184932000469416
3499,環天科,通信網路業,12,16.418675224000072,16.44109045297179,11.112719207881192,18.47160316979191,16.419,16.441,11.113,18.472,5974.867,4886.854,1513.926,50.0,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",22.679481059280658,0.820971499895677
1268,漢來美食,觀光餐旅,12,16.429242458461893,16.59169755625774,15.931102442088175,16.58902036747389,16.429,16.592,15.931,16.589,105836.695,85253.612,6804.029,41.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",27.553902503299717,1.541778199840337
8048,德勝,通信網路業,12,16.446047384181313,16.972836465705697,13.76845983690968,17.04688780727587,16.446,16.973,13.768,17.047,15964.625,13851.012,-591.337,58.333,58.333,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-11.31557356676272,0.7826014999300241
7718,友鋮,電機機械,12,16.48302466423193,16.725844512819,14.039742270832207,17.05844142158911,16.483,16.726,14.04,17.058,39893.912,33246.545,-1136.364,54.545,0.0,0,12,,,,0.0190834999084472
6206,元大上證50,ETF,12,16.506509502328694,16.407461197236874,18.20156956607365,16.85483731448102,16.507,16.407,18.202,16.855,77751.072,69225.921,12806.772,41.667,25.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-24.605890299075348,1.148637300124392
8069,元太,光電業,12,16.512057731035775,16.399149345652646,6.612983876738293,18.70142172185072,16.512,16.399,6.613,18.701,706832.228,496955.338,205573.93,50.0,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-6.555762407441668,0.8329564000014216
8072,陞泰,電子通路業,12,16.5147887448956,17.338383782731004,17.13330716082469,15.969039679926908,16.515,17.338,17.133,15.969,21988.926,17672.709,-6510.792,50.0,50.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-17.102204389765472,0.7459517000243068
1626,艾美特-KY,電器電纜,12,16.517605091089727,18.607136701524972,12.493570866281992,19.73501489251311,16.518,18.607,12.494,19.735,132106.889,107281.845,17986.342,50.0,83.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-23.97158032134217,0.7726477000396699
2221,大甲,其他,12,16.52132595780994,15.880775860755683,15.308041721599682,16.78030154591274,16.521,15.881,15.308,16.78,23125.031,18762.582,3830.309,50.0,58.333,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-9.317690959376517,0.6318308999761939
4433,興采,紡織纖維,12,16.53143099605631,15.923069979297294,15.07520092020913,15.764475026750233,16.531,15.923,15.075,15.764,61073.171,49733.253,-9606.568,50.0,83.333,12,0,"(1, 1, 1)","(0, 1, 1, 12)",12.488027538691776,0.8389834000263363
