stock_id,stock_name,industry_category,actual_months,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,RMSE_numeric_valid,MAE_numeric_valid,Bias_numeric_valid,UnderestimateRate_numeric_valid,DirectionAccuracy_numeric_valid,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
1813,寶利徠,生技醫療業,12,11.235,11.33,11.056,11.068,3386.168,2849.234,-613.105,58.333,58.333,11.235149182085157,11.329775016880522,11.05595164193276,11.067863878359981,3386.1681746944496,2849.233832576796,-613.1045132875621,58.333333333333336,58.333333333333336,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-11.365750019340195,1.2399577999021858
1437,勤益控,其他,12,11.261,10.698,8.934,10.707,11268.318,8697.494,-3008.876,75.0,50.0,11.261467953068097,10.697642241405182,8.93386715900841,10.706743248771751,11268.318146141402,8697.494467740062,-3008.875674612113,75.0,50.0,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-0.8988147037250194,0.3672805000096559
5487,通泰,半導體業,12,11.271,11.384,8.784,11.693,1834.548,1542.031,306.945,41.667,66.667,11.27058065037589,11.383931720864656,8.784252418197706,11.692918709168248,1834.548451201912,1542.0314524338874,306.94482591452135,41.66666666666667,66.66666666666666,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-15.80704635700706,0.8459345998708159
4706,大恭,化學工業,12,11.278,11.417,11.658,11.374,11898.657,10446.869,-2359.267,58.333,83.333,11.277991010541808,11.417038489528657,11.657747013570965,11.373805558847733,11898.656862221602,10446.86886134577,-2359.267185303443,58.333333333333336,83.33333333333334,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-15.337700594946616,0.8471607998944819
3376,新日興,電子工業,12,11.284,11.177,10.083,11.457,122731.341,100832.819,28929.603,41.667,58.333,11.283990613917648,11.17672145707889,10.082824829320005,11.456893771205184,122731.34058874406,100832.81860006797,28929.603118062474,41.66666666666667,58.333333333333336,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-44.760192723503664,0.6691555001307279
4916,事欣科,電腦及週邊設備業,12,11.291,12.018,12.357,11.721,40122.164,33920.418,-16487.382,66.667,75.0,11.290904674716467,12.017901646125555,12.356915043277164,11.721335188836141,40122.16428666003,33920.41809640008,-16487.382063221292,66.66666666666666,75.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-5.474973191486408,0.944743299856782
8213,志超,電子零組件業,12,11.304,11.738,8.82,11.407,199977.249,173022.97,-25759.37,58.333,91.667,11.30366578519783,11.738037841699317,8.82002261752839,11.406526038891613,199977.24934534385,173022.97028030912,-25759.3704491484,58.333333333333336,91.66666666666666,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-70.1860627464643,0.7341151000000536
3171,炎洲流通,居家生活類,12,11.304,11.419,5.479,10.42,26622.175,18006.001,-10568.061,50.0,50.0,11.304426147960985,11.41936626476921,5.478894977709098,10.420236615548452,26622.1750283722,18006.000840191326,-10568.060656079979,50.0,50.0,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-102.71558005088497,0.53329459996894
5371,中光電,光電業,12,11.322,11.035,8.541,11.043,482783.771,373401.891,-30234.813,66.667,75.0,11.321880436370721,11.035123646422612,8.540508143399018,11.042724113847884,482783.770535661,373401.8910002482,-30234.81274706517,66.66666666666666,75.0,12,0,"(1, 1, 1)","(0, 1, 0, 12)",-53.89344359538581,0.5125285000540316
6835,圓裕,電子零組件業,12,11.328,11.365,9.226,11.919,24851.277,22464.848,7059.839,41.667,58.333,11.328180249849517,11.36451453547739,9.225558810959205,11.918742069480158,24851.277498991454,22464.848172425118,7059.838859892225,41.66666666666667,58.333333333333336,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-20.106525669600348,0.8237081000115722
