date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-09-01,1216,Taiwan,58415036000,9,2025,2025-10-10
2025-10-01,1216,Taiwan,54226663000,10,2025,2025-11-10
2025-11-01,1216,Taiwan,51161260000,11,2025,2025-12-10
2025-12-01,1216,Taiwan,52311321000,12,2025,2026-01-10
2025-01-01,1217,Taiwan,469134000,1,2025,2025-02-10
2025-02-01,1217,Taiwan,313901000,2,2025,2025-03-10
2025-03-01,1217,Taiwan,402634000,3,2025,2025-04-10
2025-04-01,1217,Taiwan,376794000,4,2025,2025-05-10
2025-05-01,1217,Taiwan,440729000,5,2025,2025-06-10
2025-06-01,1217,Taiwan,424548000,6,2025,2025-07-10
2025-07-01,1217,Taiwan,486959000,7,2025,2025-08-10
2025-08-01,1217,Taiwan,591972000,8,2025,2025-09-10
2025-09-01,1217,Taiwan,525593000,9,2025,2025-10-10
2025-10-01,1217,Taiwan,364631000,10,2025,2025-11-10
2025-11-01,1217,Taiwan,324091000,11,2025,2025-12-10
2025-12-01,1217,Taiwan,314958000,12,2025,2026-01-10
2025-01-01,1218,Taiwan,887717000,1,2025,2025-02-10
2025-02-01,1218,Taiwan,786116000,2,2025,2025-03-10
2025-03-01,1218,Taiwan,825493000,3,2025,2025-04-10
2025-04-01,1218,Taiwan,793857000,4,2025,2025-05-10
2025-05-01,1218,Taiwan,832885000,5,2025,2025-06-10
2025-06-01,1218,Taiwan,809797000,6,2025,2025-07-10
2025-07-01,1218,Taiwan,893928000,7,2025,2025-08-10
2025-08-01,1218,Taiwan,1021563000,8,2025,2025-09-10
2025-09-01,1218,Taiwan,885650000,9,2025,2025-10-10
2025-10-01,1218,Taiwan,791573000,10,2025,2025-11-10
2025-11-01,1218,Taiwan,755967000,11,2025,2025-12-10
2025-12-01,1218,Taiwan,832865000,12,2025,2026-01-10
2025-01-01,1219,Taiwan,1178879000,1,2025,2025-02-10
2025-02-01,1219,Taiwan,1162280000,2,2025,2025-03-10
2025-03-01,1219,Taiwan,1294322000,3,2025,2025-04-10
2025-04-01,1219,Taiwan,1207240000,4,2025,2025-05-10
2025-05-01,1219,Taiwan,1197196000,5,2025,2025-06-10
2025-06-01,1219,Taiwan,1099572000,6,2025,2025-07-10
2025-07-01,1219,Taiwan,1105072000,7,2025,2025-08-10
2025-08-01,1219,Taiwan,1150184000,8,2025,2025-09-10
2025-09-01,1219,Taiwan,1211300000,9,2025,2025-10-10
2025-10-01,1219,Taiwan,1266703000,10,2025,2025-11-10
