date,stock_id,EPS,statement_available_date
2021-03-31,1201,0.17,2021-05-15
2021-06-30,1201,0.2,2021-08-14
2021-09-30,1201,0.4,2021-11-14
2021-12-31,1201,0.24,2022-03-31
2022-03-31,1201,0.19,2022-05-15
2022-06-30,1201,0.18,2022-08-14
2022-09-30,1201,0.28,2022-11-14
2022-12-31,1201,-0.18,2023-03-31
2023-03-31,1201,0.25,2023-05-15
2023-06-30,1201,0.07,2023-08-14
2023-09-30,1201,0.13,2023-11-14
2023-12-31,1201,0.08,2024-03-31
2024-03-31,1201,0.26,2024-05-15
2024-06-30,1201,0.2,2024-08-14
2024-09-30,1201,0.28,2024-11-14
2024-12-31,1201,0.13,2025-03-31
2025-03-31,1201,0.22,2025-05-15
2025-06-30,1201,0.05,2025-08-14
2025-09-30,1201,0.16,2025-11-14
2025-12-31,1201,-0.03,2026-03-31
2026-03-31,1201,0.2,2026-05-15
2026-06-30,1201,0.28,2026-08-14
2019-03-31,1203,0.5,2019-05-15
2019-06-30,1203,0.52,2019-08-14
2019-09-30,1203,0.44,2019-11-14
2019-12-31,1203,0.46,2020-03-31
2020-03-31,1203,0.5,2020-05-15
2020-06-30,1203,0.43,2020-08-14
2020-09-30,1203,0.56,2020-11-14
2020-12-31,1203,0.32,2021-03-31
2021-03-31,1203,0.55,2021-05-15
2021-06-30,1203,0.53,2021-08-14
2021-09-30,1203,0.44,2021-11-14
2021-12-31,1203,0.36,2022-03-31
2022-03-31,1203,0.59,2022-05-15
2022-06-30,1203,0.17,2022-08-14
2022-09-30,1203,1.5,2022-11-14
2022-12-31,1203,0.37,2023-03-31
2023-03-31,1203,0.33,2023-05-15
2023-06-30,1203,0.38,2023-08-14
2023-09-30,1203,0.64,2023-11-14
2023-12-31,1203,0.45,2024-03-31
2024-03-31,1203,0.64,2024-05-15
2024-06-30,1203,0.5,2024-08-14
2024-09-30,1203,0.44,2024-11-14
2024-12-31,1203,0.78,2025-03-31
2025-03-31,1203,0.58,2025-05-15
2025-06-30,1203,0.06,2025-08-14
2025-09-30,1203,0.64,2025-11-14
2025-12-31,1203,0.53,2026-03-31
2026-03-31,1203,0.49,2026-05-15
2026-06-30,1203,0.44,2026-08-14
2019-03-31,1210,0.65,2019-05-15
2019-06-30,1210,0.77,2019-08-14
2019-09-30,1210,0.97,2019-11-14
2019-12-31,1210,0.61,2020-03-31
2020-03-31,1210,0.72,2020-05-15
2020-06-30,1210,0.94,2020-08-14
2020-09-30,1210,1.28,2020-11-14
2020-12-31,1210,1.05,2021-03-31
2021-03-31,1210,1.01,2021-05-15
2021-06-30,1210,0.51,2021-08-14
2021-09-30,1210,0.37,2021-11-14
2021-12-31,1210,0.48,2022-03-31
2022-03-31,1210,0.69,2022-05-15
2022-06-30,1210,0.64,2022-08-14
2022-09-30,1210,0.62,2022-11-14
2022-12-31,1210,0.71,2023-03-31
