target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
9,營收公式（含殘差校正）,1842,1842,3601700.3958169306,297320.66833090485,90.26246538925633,9.692263281904538,12.038450594597322,19.83140424565256,0.6887860771920694,-234783.17047694826,60.640608034744844,61.020629750271446
10,沿用上月營收,1849,1849,1830131.6729912213,231862.20389399675,108.00935550272565,10.242264342663118,9.524855156196613,19.312575730812505,0.7127041806703222,26609.69442942131,41.96863169280692,0.2704164413196322
10,去年同月營收,1849,1849,3812138.657718493,449614.06760411034,1213.00240310563,15.731443369980305,18.47006022626883,27.416932024311823,1.0082911666416587,-228748.86046511628,52.839372633856144,62.62844780962683
10,營收公式（未做殘差校正）,1849,1849,1040890.7750293892,166440.31081584966,195.97752434010977,9.645946093743921,6.83733625424389,19.11999458541087,0.6526248899629196,-21978.523104519023,48.45862628447809,65.65711195240671
10,營收公式（含殘差校正）,1849,1849,1040890.7750293892,166440.31081584966,195.97752434010977,9.645946093743921,6.83733625424389,19.11999458541087,0.6526248899629196,-21978.523104519023,48.45862628447809,65.65711195240671
11,沿用上月營收,1855,1855,2720307.0049797758,253816.12722371967,46.07111721586957,8.910682457015378,10.355233387813648,17.464672121496026,0.6257958418549263,-23901.978436657682,54.01617250673855,0.37735849056603776
11,去年同月營收,1855,1855,6537378.225551154,578044.0997304582,1560.492462063669,15.80619982158787,23.58314117637415,27.396859911785302,1.0113130857748014,-357328.89649595687,50.02695417789758,58.11320754716981
11,營收公式（未做殘差校正）,1855,1855,2548851.7079200493,248690.63782931637,127.66812134012595,9.230613198516123,10.14612280257874,18.82985297366389,0.6250559060264573,-92333.31148679697,49.97304582210242,61.50943396226415
11,營收公式（含殘差校正）,1855,1855,2548851.7079200493,248690.63782931637,127.66812134012595,9.230613198516123,10.14612280257874,18.82985297366389,0.6250559060264573,-92333.31148679697,49.97304582210242,61.50943396226415
12,沿用上月營收,1862,1862,2201258.858099414,284991.6981740064,441.18996040944023,11.226519521504601,11.017156913236635,21.88731489914446,0.9664422406220109,-143574.24489795917,68.58216970998926,0.21482277121374865
12,去年同月營收,1862,1862,7077199.2556114225,623131.5719656283,39623.64790248485,16.029139465586983,24.088906273141717,28.475308791176403,1.2489408364518932,-446443.0574650913,54.618689581095595,63.74865735767992
12,營收公式（未做殘差校正）,1862,1862,2836865.5864183367,298346.4842559513,5735.299719431787,10.10182650660144,11.533423789606,21.09550381062268,0.8581147544007357,-178312.16665097646,62.67454350161117,65.78947368421053
12,營收公式（含殘差校正）,1862,1862,2836865.5864183367,298346.4842559513,5735.299719431787,10.10182650660144,11.533423789606,21.09550381062268,0.8581147544007357,-178312.16665097646,62.67454350161117,65.78947368421053
