target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
5,原混合模型,1862,1862,2413775.46158233,272751.9849108462,179.2342145125853,11.826025999896455,42.926786356750036,12.837012728175287,19.980411928123395,,91361.68866620683,32.921589688506984,49.67776584317938
5,結構斷點公式,1862,1862,2506873.2103649774,281007.7014484302,77.09514365689063,11.921571381120991,43.618697083652975,13.225566227823746,20.239796564804312,,96438.2350737556,33.56605800214823,48.65735767991407
5,改善混合模型,1862,1862,2413762.001119432,272394.371132082,75.46336909428796,11.815984396922294,42.834089597994755,12.820181713613588,19.974871749264913,,90655.87400671157,33.08270676691729,49.40923737916219
6,原營收公式,1862,1862,2340344.277399684,258953.90895807123,27.750101961158606,10.214072083087855,43.02320624085482,12.28007862570326,19.11258524641026,,37632.02934648941,46.13319011815252,58.64661654135338
6,原混合模型,1862,1862,2204109.487541562,251318.36433191015,27.354986651816482,9.703442488186962,42.25374485062508,11.917986820499014,18.888292923233923,,38859.33965441159,45.59613319011815,59.77443609022557
6,結構斷點公式,1862,1862,2340678.7954424443,259049.91506358073,25.48495012350942,10.062602119234402,41.57243152755648,12.28463141476502,18.782341933884545,,37010.66032190869,46.29430719656283,57.89473684210527
6,改善混合模型,1862,1862,2204433.3123336616,251409.0406194474,25.295142168442002,9.622566484393316,41.226060041485525,11.922286859625377,18.56150158871095,,38291.92618701377,45.8109559613319,59.55961331901182
7,原營收公式,1862,1862,1376685.414758237,198559.67179469846,95.14486307660877,9.416574670120232,45.83269633078395,9.289485629716188,18.550896641346,,31011.298985639492,43.12567132116004,62.459720730397414
7,原混合模型,1862,1862,1371442.6574512299,194597.83023225729,88.52820217923558,9.25362450486678,45.04870409751729,9.104133438463762,18.288782093781386,,35119.102375214214,42.4812030075188,63.10418904403867
7,結構斷點公式,1862,1862,1376851.2569991394,198532.0289440887,47.58618757083776,9.257146157410952,44.670057443877276,9.288192376855813,18.30504971321473,,30530.128252424085,43.44790547798066,61.922663802363054
7,改善混合模型,1862,1862,1371600.5957593,194569.95388604773,45.671577982055545,9.206831082236706,44.192510650418,9.102829261662995,18.04629774004123,,34663.53178912366,42.80343716433942,63.1578947368421
8,原營收公式,1862,1862,1326038.9843878986,183518.8610967054,26.296645771640716,8.928029189776224,44.75796925684922,8.505543906739739,18.500930136482513,,-4185.782705867868,44.951664876476904,56.981740064446825
8,原混合模型,1862,1862,1334479.2651707192,183620.02307048943,26.07411780912694,8.90974432869657,43.67533015301074,8.510232458121164,18.24816776715526,,-1377.804300081345,43.87755102040816,58.109559613319014
8,結構斷點公式,1862,1862,1326035.926184694,183427.8819199186,24.374736869556486,8.910668103621786,44.288174893754004,8.501327297187268,18.43692157363833,,-4438.727205748892,45.327604726100965,56.283566058002144
8,改善混合模型,1862,1862,1334477.0459802968,183544.39231142183,24.352002509160783,8.864340205630125,43.32409413528817,8.506727201287587,18.194314474581645,,-1608.0296921556187,44.25349087003222,57.84103114930183
9,原營收公式,1862,1862,3582308.6169463666,294468.65018503624,89.6938825410302,9.743169065873843,42.75859748263507,12.040466733240939,19.922818923642996,,-232309.78326505263,60.41890440386681,60.31149301825993
9,原混合模型,1862,1862,3255607.7236396754,279918.0581804544,83.87948312444304,9.511095409878653,42.36860980360625,11.44551063563924,19.581358521461464,,-216355.85525486685,60.04296455424275,61.49301825993555
9,結構斷點公式,1862,1862,3582312.6027693837,294507.5961612835,52.9031710480616,9.678030650346228,41.95647508117069,12.042059187076362,19.85561139192673,,-232554.4818769539,60.580021482277125,59.505907626208376
9,改善混合模型,1862,1862,3255612.220471011,279964.2609435046,50.775007469553316,9.453668007207444,41.30468141481497,11.4473998107047,19.524953332769808,,-216587.1120302768,60.31149301825993,61.224489795918366
10,原營收公式,1862,1862,1037303.4327912673,165753.1326178637,194.78162721675048,9.687220607550035,42.813265451273374,6.851539109770166,19.161129743367756,,-21798.940631692745,48.28141783029001,65.14500537056928
10,原混合模型,1862,1862,992013.3291238056,164276.04225867998,205.94819713219118,9.550947287129773,42.26370252955883,6.790482391234754,18.842026059835707,,-16971.638905325402,48.33512352309345,66.64876476906552
10,結構斷點公式,1862,1862,1037290.1097339275,165504.8997640804,95.16244794012977,9.665151279479963,41.90290389335915,6.841278205018836,18.64020432869689,,-22117.595458988864,48.49624060150376,64.8764769065521
10,改善混合模型,1862,1862,992000.3768758146,164045.03701445906,94.620820064725,9.550947287129773,40.96963080555841,6.780933603586855,18.349206945659066,,-17273.049827813385,48.5499462943072,66.54135338345864
11,原營收公式,1862,1862,2544061.930678648,247958.1461726003,127.25874769842953,9.270614343706834,40.89121551724462,10.148806482655932,18.84084779527969,,-92188.57239957484,50.10741138560687,61.278195488721806
11,原混合模型,1862,1862,2521330.371753554,243535.0855707411,128.60154160321844,9.13692925838653,40.543803185464135,9.967772760625754,18.604567920463015,,-91143.21673169763,49.5703544575725,61.1170784103115
11,結構斷點公式,1862,1862,2544063.772561349,247887.8384431235,76.66955138925682,9.227421712046697,40.664522197535554,10.14592882143887,18.574083474933865,,-92403.59850145277,50.26852846401718,60.68743286788399
11,改善混合模型,1862,1862,2521332.2717868225,243469.4213681858,78.34723253821761,9.10080957565822,40.18804506276294,9.965085156710101,18.339602945727425,,-91343.50249490084,49.73147153598281,60.848549946294305
12,原營收公式,1862,1862,2836865.5864183367,298346.4842559513,5735.299719431787,10.10182650660144,44.13055922429748,11.533423789606,21.09550381062268,,-178312.16665097646,62.67454350161117,65.78947368421053
12,原混合模型,1862,1862,2834065.972681846,293684.5283007206,5734.950856828943,10.002969901079505,42.86352302259731,11.35320274944779,20.817117714539837,,-176962.39144600136,62.620837808807735,66.3265306122449
12,結構斷點公式,1862,1862,2837400.3680812563,298442.78780222667,5732.009844744867,10.093569292399913,43.31998874569867,11.537146674473927,20.981302052275392,,-179076.28993327558,63.05048335123523,64.8764769065521
12,改善混合模型,1862,1862,2834561.5894763516,293769.1296722677,5731.626639638985,10.000399878073951,42.456659787764536,11.356473253786621,20.696895726693974,,-177679.3048034503,62.94307196562836,65.8968850698174
