target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,P90APE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
7,SARIMA＋營收公式,1635,1635,1427010.024202803,200618.17930987012,16.224203849209317,8.568303098940081,32.06160751071189,8.385222493579514,14.102156173684383,0.5280536828646405,34008.42238014104,42.32415902140673,64.95412844036697
8,營收調整公式,1635,1635,1365038.120204924,189693.23986881578,19.334372959087265,8.203226070884856,35.88940797913388,7.877068382426209,14.761369916010894,0.5452194782706552,7106.677821349772,44.403669724770644,58.103975535168196
8,SARIMA,1635,1635,1942723.5440869345,250298.44535421082,17.487631649235443,9.165975030741334,37.53485173813817,10.393717622375895,15.243547321048979,0.5929338393556135,39753.5049483487,37.85932721712538,59.082568807339456
8,SARIMA＋營收公式,1635,1635,1374454.4630812267,189869.61263099147,18.862270028476456,8.13370681665695,35.17664126099051,7.884392313998132,14.553132401095969,0.5381660866916055,10371.360534049676,43.11926605504588,59.20489296636086
9,營收調整公式,1635,1635,3817819.999264768,317988.4911174772,17.839148333178375,9.137194922170952,34.73142145499359,11.659610049580415,15.722687359178892,0.6207355773169445,-251942.81230818172,61.039755351681954,60.85626911314985
9,SARIMA,1635,1635,1190283.8451656685,198243.5230277636,16.173876673323505,8.643430044844646,32.42104094144458,7.2689491535868305,14.92993193468301,0.6003394098988671,-71795.09357667722,56.75840978593272,65.4434250764526
9,SARIMA＋營收公式,1635,1635,3468778.5470270445,301454.635375504,17.424057752022414,8.88419715667669,34.378697376819225,11.053367006349633,15.413531088622701,0.6082929509511823,-233928.0404350312,60.48929663608563,62.26299694189602
10,營收調整公式,1635,1635,1087492.7589046499,168530.05508871604,17.02359730149439,8.902143284500806,35.182287939106104,6.232937594818604,14.936030326142443,0.5706646942633091,-29461.004131934274,48.68501529051988,65.99388379204893
10,SARIMA,1635,1635,1443955.518260467,188961.84046715827,15.555521441353912,8.711788629946435,32.88520991201504,6.988589416966999,14.260672397397443,0.5610590596542534,29996.191107939656,48.01223241590214,65.5045871559633
10,SARIMA＋營收公式,1635,1635,1039379.7497867275,167198.24161706437,16.61236706419436,8.752433351092254,34.08235350375445,6.183681631231732,14.631913509877428,0.5587580535680657,-23515.284607946804,48.80733944954129,67.58409785932722
11,營收調整公式,1635,1635,2698197.037845513,262341.6435516781,16.216068014961674,8.419519046796953,33.47915520574728,9.616044131888533,14.504548522837188,0.5593467379136228,-100520.30134350885,49.96941896024465,61.95718654434251
11,SARIMA,1635,1635,2677951.135378112,244923.45091010904,15.47741210007279,9.207567348793788,33.731333461156446,8.977586177324143,14.429828973089101,0.5754651364030903,-89752.16428153668,45.74923547400612,62.079510703363916
11,SARIMA＋營收公式,1635,1635,2673904.1145985746,257404.4947270334,15.92201823967554,8.360673118609604,33.137770420864655,9.435074613131466,14.298549874649474,0.5516108423683564,-99443.48763731153,49.41896024464832,61.8348623853211
12,營收調整公式,1635,1635,3009812.8163442565,308738.2895638579,17.33638714827252,9.529979694361732,35.42523823638204,10.741266900909757,16.336780871455094,0.701223329980162,-183289.9365553509,62.93577981651376,65.93272171253822
12,SARIMA,1635,1635,3098209.566141857,289998.6213820546,16.887843110710854,9.738450169210171,35.20412461847177,10.08929795381354,16.243904079219014,0.6987900433446224,-167640.9009918165,59.32721712538226,66.48318042813456
12,SARIMA＋營收公式,1635,1635,3006838.46374038,303421.30228281027,17.04811387621204,9.23511130902325,34.88071851118612,10.556284404650048,16.078380673213477,0.6892114864659008,-181725.0329989974,62.87461773700306,66.48318042813456
